aCCAP 1L,aCCAP 1R,aCCAP 2L,aCCAP 2R,aCCAP 3L,aCCAP 3R,aCCAP 4L,aCCAP 4R,bCCAP 1L,bCCAP 1R,bCCAP 2L,bCCAP 2R,bCCAP 3L,bCCAP 3R,bCCAP 4L,bCCAP 4R
0.0,0.0,0.0,0.0,0.006723074562111887,0.017396071444393056,0.004462233761325119,0.013504331058882105,0.028727230797734628,0.18666820157136096,0.026571622665436664,0.017023077561369927,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.007813844159494408,0.018112845107566538,0.005011058639931642,0.014716378113143138,0.03190700530710815,0.21730888997611275,0.030292539967489106,0.017625124012371027,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.008904613756877648,0.01882961877074093,0.005559883518536633,0.015928425167404173,0.03508677981648603,0.2479495783808645,0.034013457269541546,0.018227170463372123,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00999538335426089,0.01954639243391441,0.006108708397143156,0.017140472221665204,0.03826655432586391,0.27859026678562726,0.037734374571595286,0.018829216914373222,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01108615295164413,0.020263166097088798,0.006657533275748913,0.018352519275925343,0.04144632883524179,0.3092309551903791,0.04145529187364643,0.019431263365374322,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.012176922549027372,0.02097993976026228,0.007206358154355436,0.019564566330186373,0.04462610334461531,0.33987164359513083,0.045176209175698874,0.020033309816375418,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.012019764003219163,0.020048374619425966,0.008768825739601792,0.019563283718277147,0.0444897224142803,0.32077382220048656,0.04424690441099683,0.021592708545430606,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.011862605457410233,0.019116809478588744,0.010331293324848148,0.019562001106367025,0.04435334148394529,0.30167600080583135,0.04331759964629478,0.02315210727448443,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.011705446911602024,0.018185244337752426,0.011893760910093738,0.019560718494458694,0.044216960553610275,0.2825781794111761,0.042388294881594034,0.024711506003539614,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.011548288365792374,0.017253679196915204,0.013456228495340094,0.019559435882548572,0.044080579623275266,0.2634803580165208,0.04145899011689199,0.02627090473259344,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.011391129819984165,0.01632211405607889,0.01501869608058645,0.019558153270639346,0.04394419869294026,0.2443825366218766,0.04052968535218995,0.027830303461648626,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.011741259137261607,0.018827782545310603,0.014510744520355032,0.019645342613554388,0.04257961204419193,0.2522457766138192,0.03726615147162717,0.028413202867089375,0.0,0.0,0.0,0.0
